"-- All --",--Todos--
"-- First Please Select a Website --","--Por favor seleccione un sitio web--"
"-- No Theme --","-Sin tema--"
"-- None --","-- Ninguno --"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Select --","-- Seleccione --"
"--Please Select--",--Seleccione--
"We don't have enough information to save the parent transaction ID.","No tenemos suficiente información para guardar la ID de transacción del padre."
"We don't have some of the products you want.","No tenemos algunos de los productos que desea."
"We don't recognize or support the file extension in shipment %1.","No podemos reconocer o admitir la extensión de archivo en este envío: %1."
"We don't recognize or support the file extension in this shipment: %1.","No reconocemos o admitimos la extensión de archivo en este envío: %1."
"We don't recognize or support this file extension type.","No reconocemos o soportamos este tipo de extensión de archivo."
"We don't recognize this file extension.","No reconocemos esta extensión de archivo."
"We fetched %1 report rows from ""%2@%3.""","Se obtuvieron %1 filas de los reportes de ""%2@%3"""
"We found a directory with the same name.","Encontramos un directorio con el mismo nombre."
"We found a directory with the same name. Please try another folder name.","Encontramos una carpeta con el mismo nombre. Por favor, intente otro nombre para la carpeta."
"We found a duplicate website, tier price, customer group and quantity.","Se encontró un sitio web duplicado, precios del segmento, grupo de clientes y cantidad."
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.","Encontramos un atributo con este tipo de entrada estático ya en el tipo de registro de regalo. Por favor seleccione un tipo de entrada diferente."
"We found an invalid entity model.","Encontramos un modelo de entidad no válida."
"We found an invalid item option format.","Encontramos un formato de opción de elemento no válido."
"We found an invalid quantity to invoice item ""%1"".","Encontramos una cantidad válida para facturar el artículo ""%1""."
"We found an invalid quantity to refund item ""%1"".","Encontramos una cantidad válida para devolver el elemento ""%1""."
"We found an invalid quantity to ship for item ""%1"".","Encontramos una cantidad válida para enviar para el artículo ""%1""."
"We found an invalid renderer model.","Encontramos un modelo de renderizado no válido."
"We found an invalid request for adding product to quote.","Encontramos una solicitud inválida para añadir el producto a cotizar."
"We found an invalid value in a website column.","Encontramos un valor inválido en una columna de sitio Web."
"We found an item options declaration error.","Hemos encontrado un error de declaración en las opciones de artículo."
"We found an unsupported transaction type ""%1"".","Encontramos un tipo de transacción ""%1""."
"We found another order status with the same order status code.","Nos encontramos con otro estado de la orden con el mismo código de estado de orden."
"We found another row with this email, website and address ID combination.","Encontramos otra fila con esta combinación de correo electrónico, página web y ID de dirección."
"We found no files.","No se encontró ningún archivo."
"We found no problems.","No encontramos problemas."
"We found nothing to fetch because of an empty configuration.","No hemos encontrado nada para buscar debido a falta de configuración."
"We found other products you might like!","¡Hemos encontrado otros productos que te pueden gustar!"
"We found some problems with the data.","Hemos encontrado algunos problemas con los datos."
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Hay reglas actualizadas que no se aplican. Por favor, haz clic en ""Aplicar las reglas"" para actualizar su catálogo."
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","Tuvimos que saltar el método DHL %1 porque no pudimos encontrar el tipo de cambio %2 (moneda Base)."
"We have archived the order.","Hemos archivado la orden."
"We have nothing to add to this gift registry.","No tenemos nada que añadir a este registro de regalo."
"We have received a request to change the following information associated with your account at %store_name: %changes.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"We have received a request to change the following information associated with your account at %store_name: email, password.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"We have received a request to change the following information associated with your account at %store_name: email.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"We have received a request to change the following information associated with your account at %store_name: password.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"We have removed the order from the archive.","Hemos removido la orden del archivo."
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Hemos actualizado su cuenta <a href=""%store_url""> %store_name</a> y tienes crédito que puede utilizar para futuras compras."
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Necesitamos más información para crear sus etiquetas de envío. Por favor, Compruebe la configuración de la información y envío de almacén."
"We partially approved your Return request.","Nos parcialmente habían aprobado su solicitud de devolución."
"We partially authorized your Return request.","Parcialmente, se autoriza la solicitud de devolución."
"We partially received your Return request.","Parcialmente, hemos recibido su solicitud de devolución."
"We partially rejected your Return request.","Parcialmente, hemos recibido su solicitud de devolución."
"We prefer PayPal (150 X 40)","Preferimos PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Preferimos PayPal (150 X 60)"
"We processed and closed your Return request.","Había procesado y había cerrado su solicitud de devolución."
"We received your order!","¡Hemos recibido su pedido!"
"We received your Return request.","Hemos recibido su solicitud de devolución."
"We received your return request. You will be notified when your request is reviewed.","Hemos recibido su solicitud de devolución. Se le notificará cuando su solicitud es revisada."
"We refunded %1 offline.","Devolvimos %1 fuera de línea."
"We refunded %1 online.","Devolvimos %1 en línea."
"We removed %1 order(s) from the archive.","Hemos removido %1 pedido(s) del archivo."
"We removed the subscription.","Quitamos la suscripción."
"We saved the subscription.","Se guardó la suscripción."
"We sent %1 invitation(s).","Enviamos %1 invitación(es)."
"We skipped %1 of the selected invitations.","Nos hemos saltado %1 de las invitaciones seleccionadas."
"We unsubscribed the people you identified.","Hemos desuscrito a las personas que has identificado."
"We updated lifetime statistic.","Se actualizaron las estadísticas de por vida."
"We use cookies to make your experience better.","Utilizamos cookies para mejorar tu experiencia."
"We were unable to create full code pool size. Please check settings and try again.","No hemos podido crear completa tamaño de la agrupación de código. Por favor, compruebe la configuración y vuelva a intentarlo."
"We were unable to generate a new code pool.","Fuimos incapaces de generar un nuevo grupo de código."
"We were unable to perform the search because of a search engine misconfiguration.","No hemos podido realizar la búsqueda debido a un error de configuración del motor de búsqueda."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","No hemos podido sincronizar uno o más archivos multimedia. Por favor, consulte el archivo de registro para más detalles."
"We will authorize %1 after the payment is approved at the payment gateway.","Le autorizamos a %1 después de que el pago es aprobado en la pasarela de pago."
"We will disable this feature if the value is empty.","Desactivará esta función si el valor está vacío."
"We will refund the gift card amount to your customer’s store credit","Le devolveremos la cantidad de tarjetas de regalo al crédito de su cliente tienda"
"We'll ask for your payment details before you place an order.","Te pediremos pedir los datos de pago antes de hacer un pedido."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Autorizaremos la cantidad de %1 tan pronto como el Gateway de pago aprueba."
"We'll email you a link to reset your password.","Te enviaremos por email un link para restablecer tu contraseña."
"We'll email you an order confirmation with details and tracking info.","Te enviaremos un email de confirmación con los detalles y información del envío."
"We'll send your order confirmation here.","Aquí te enviaremos la confirmación de su pedido."
"We're sorry, an error has occurred while generating this email.","Lo sentimos, se ha producido un error al generar este correo electrónico."
"We're unable to send the password reset email.","No se puede enviar el correo electrónico para restablecer la contraseña."
Weak,Débil
"Web Section","Sección de la web"
"Web Services Configuration","Ajustes de servicios web"
"Web Setup Wizard","Asistente para la configuración Web"
"Web Site","Sitio web"
"Web Site Information","Información del Sitio Web"
"Web-Services URL (Production)","Web-Services URL (Producción)"
Website,"Sitio web"
"Website Closed","Sitio web cerrado"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","El código del sitio web sólo debe contener letras (a-z), números (0-9) o guiones bajos (_), el primer carácter debe ser una letra."
"Website Payments Pro Hosted Solution","Solución Hospedada de Pagos Web Pro"
"Website Payments Pro Hosted Solution and Express Checkout","Solución alojada de Website Payments Pro y Pago exprés"
"Website with the same code","Ya existe un sitio web con el mismo código"
"website(%1) scope","alcance del sitio (%1)"
Websites,"Sitios web"
"Websites List","Lista de sitios web"
"Websites Tree","Árbol de sitios web"
"Weekend Days","Días fin de semana"
Weekly,Semanalmente
Weight,Peso
weight,peso
Weight,Peso
"Weight (and above)","Peso (y más)"
"Weight Unit","Unidad de peso"
"Weight vs. Destination","Peso vs. destino"
Weight:,Peso:
welcome,bienvenido
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"Welcome Text","Texto de bienvenida"
"Welcome to %store_name","Bienvenido a %store_name"
"Welcome to %store_name.","Bienvenido a %store_name."
"Welcome, %1!","¡Bienvenido, %1!"
"Welcome, %name","Bienvenido, %name"
"Welcome, please sign in","Bienvenido, por favor inicie sesión"
"What are you looking for?","¿Qué están buscando?"
"What is PayPal?","¿Qué es PayPal?"
"What is this?","¿Qué es esto?"
"What's this?","¿Qué es esto?"
"What’s on your mind?","¿Qué está en su mente?"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Cuando los precios del catálogo incluyan impuestos, esta función fijará el precio independientemente de la tasa de impuestos del cliente."
"When you enable this option your site may slow down.","Al habilitar esta opción puede ralentizar su sitio."
"When you sign in to your account, you will be able to:","Cuando inicie sesión en su cuenta, usted será capaz de:"
"Whether to create a billing agreement, if there are no active billing agreements available.","Opción de creación de un contrato de facturación, si no hay contratos de facturación activos disponibles."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Si se muestra la opción ""Todos"" en el menú desplegable ""Mostrar X por página"""
Widget,Aplicación
"Widget ID","ID de aplicación"
"Widget Insertion","Inserción del widget"
"Widget Options","Opciones de aplicación"
"Widget Title","Título del widget"
"Widget Type","Tipo de aplicación"
Widgets,Aplicaciones
Width,Ancho
"Will appear as a payment option only for customers who have at least one active billing agreement.","Aparecerá como una opción de pago para los clientes que tienen al menos un acuerdo de facturación activado."
"Wish List",Favoritos
"Wish list ""%1"" already exists.","Lista de deseos ""%1"" ya existe."
"Wish List ""%1"" has been deleted.","Lista de deseos ""%1"" ha sido eliminada."
"Wish list ""%1"" was saved.","Lista de deseos ""%1"" se guardó."
"Wish List (%1)","Favoritos (%1)"
"Wish List %1 shared","%1 lista de deseos compartida"
"Wish List is empty now.","Su favoritos están vacíos."
"Wish List Items","Elementos de la lista de deseos"
"Wish List Name","Nombre de la lista de deseos"
"Wish List Purchase","Compra de lista de deseos"
"Wish List Quantity","Cantidad de lista de deseos"
"Wish List Search","Búsqueda en lista de deseos"
"Wish List Search Description","Descripción de búsqueda de lista de deseos"
"Wish List Search Template","Plantilla de búsqueda de lista de deseos"
"Wish List Section","Sección de lista de deseos"
"Wish List Sharing","Compartir favoritos"
"Wish List vs. Regular Order","Lista de deseos vs. pedido regular"
"Wish Lists","Listas de deseo"
Wishlist,"Lista de deseos"
"Without starting and trailing slashes.","Sin barras diagonales al inicio o al final."
"Workflow type","Tipo de flujo de trabajo"
"WorldLink Withdrawal","Retirada de Fondos WorldLink"
"Worldwide Expedited","Internacional Expedido"
"Worldwide Express","Internacional Urgente"
"Worldwide Express Letter","Internacional Urgente Carta"
"Worldwide Express Plus","Internacional Urgente Plus"
"Worldwide Express Plus Letter","Internacional Urgente Plus Carta"
"Worldwide Express Saver","Internacional Urgente garantizada"
"Would you like to change the Customer Group for this order?","¿Desea cambiar el grupo de clientes para este pedido?"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","¿Le gustaría firmar un contrato de facturación para agilizar sus futuras compras con PayPal?"
"Write Us",Escríbenos
"Write Your Own Review","Escribir Su propia reseña"
"Wrong ""ApplyTo"" type","Tipo equivocado de ""aplicar para"""
"Wrong attribute group ID","ID de grupo de atributos es erróneo"
"Wrong attribute set ID","ID de conjunto de atributos es erróneo"
"Wrong attribute set id provided","El Id del conjunto de atributos proporcionado es incorrecto"
"Wrong Content Type","Tipo de contenido incorrecto"
"Wrong email.","Se especificó una dirección de correo electrónico incorrecta."
"Wrong entity ID","ID de entidad es erróneo"
"Wrong file info format","Formato de información del archivo incorrecto"
"Wrong gateway response format.","Formato de la respuesta de la pasarela incorrecto."
"Wrong message type","Tipo de mensaje incorrecto"
"Wrong minimum amount.","Cantidad mínima errónea."
"Wrong notification ID specified.","ID de la notificación especificado incorrecto."
"Wrong param id","Id de parámetro incorrecto"
"Wrong Region","Región incorrecta"
"Wrong request.","Solicitud incorrecta."
"Wrong response type","Tipo de respuesta equivocada"
"Wrong transaction status","Estado de transacción incorrecto"
"WYSIWYG Editor","Editor WYSIWYG"
"WYSIWYG Options","WYSIWYG Optionen"
"X-Forwarded For","X-reenviada por"
"XML Sitemap","Mapa del sitio XML"
"XML Sitemap Section","Sección del mapa del sitio XML"
Year,Año
"Year Range","Rango de años"
"Year-To-Date Starts","Año actual empieza el"
Yearly,Anualmente
Yes,Sí
yes,sí
Yes,Sí
"Yes (301 Moved Permanently)","Ja (301 Dauerhaft entfernt)"
"Yes (302 Found)","Ja (302 Gefunden)"
"Yes (only price with tax)","Sí (sólo precio con IVA)"
"Yes (PayPal recommends this option)","Sí (PayPal recomienda esta opción)"
"Yes, for Everyone","Sí, para todos"
"Yes, for Specified Customer Groups","Sí, para grupos de cliente especificados"
"Yes. Matched Address and five-didgit ZIP","Sí. La dirección y el código postal de cinco dígitos coinciden."
Yes/No,Si/No
"You added %1 product to your shopping cart.","Añadiste %1 artículos a su carrito de compras."
"You added %1 products to your shopping cart.","Añadiste %1 artículos a su carrito de compras."
"You added %1 to your shopping cart.","Añadiste %1 a su carrito de compras."
"You added product %1 to the comparison list.","Había añadido el producto %1 a la lista de comparación."
"You already have a permission with this scope.","Ya tiene un permiso con este alcance."
"You already have an account with us. Sign in or continue as guest.","Ya tienes una cuenta con nosotros. Ingresar o continuar como invitado."
"You applied the custom currency symbols.","Aplicaste los símbolos de moneda personalizados."
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Estás a punto de borrar todos los productos en este conjunto de atributos. ¿Está seguro de que desea hacerlo?"
"You are not using store credit in your shopping cart.","No estás utilizando crédito de la tienda en tu carrito de compras."
"You are signed out","Has cerrado la sesión"
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","Estas tratando de agregar una cantidad para algunos productos que no coincide con la cantidad que fue enviada."
"You assigned the order status.","Ha asignado el estado del pedido."
"You can add only enabled products.","Puede agregar sólo artículos habilitados."
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","También se puede compartir con sus amigos y familiares por ingresar a su cuenta y visitar la ficha de registro de regalo."
"You can buy %1 only in quantities of %2 at a time.","Usted solo puede comprar %1 en cantidades de %2 de una vez."
"You can buy this product only in quantities of %1 at a time.","Solo puede comprar este producto en cantidades de %1 de una vez."
"You can buy up to %1 of these per purchase.","Usted puede comprar %1 de estos por compra."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puede comprobar el estado de su pedido <a href=""%account_url"">ingresando en su cuenta</a>."
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","Puede comprobar el estado de vuelta <a href=""%form_url""> usando su número de orden</a>."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Puede comprobar el estado de su declaración de <a href=""%account_url""> registro en su cuenta</a> o <a href=""%form_url""> utilizando su número de orden</a>."
"You can create a rule only to the existing categories.","Puede crear una regla sólo a las categorías existentes."
"You can create an account after checkout.","Puede crear una cuenta después del cobro."
"You can create orders only in an active store.","Puedes crear pedidos sólo en una tienda activa."
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","Puede crear su propio registro de regalo en <a href=""%account_url"">%store_name</a> y compartir con amigos y familiares."
"You can find and edit rule label and descriptions, per store view, in email templates.","Puede encontrar y editar etiqueta de regla y descripciones, por la vista de la tienda, en plantillas de correo electrónico."
"You can leave this box blank if you don't want to add a gift message for the item.","Puede dejar esta caja en blanco si no quiere añadir un mensaje de regalo para el artículo."
"You can leave this box blank if you don't want to add a gift message for this address.","Puede dejar este campo en blanco si no quiere añadir un mensaje de regalo para esta dirección."
"You can not cancel Credit Memo","No puede cancelar factura rectificada"
"You can override this default value in CMS using the limit=""x"" variable.","Puede reemplazar este valor predeterminado en el CMS con el variable limit = ""x""."
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Puede reemplazar este valor predeterminado en el CMS con la variable límit = ""x"". Deje en blanco para ninguna limitación."
"You can reward up to %1 new reviews(s).","Usted puede recompensar hasta %1 nuevas calificaciones."
"You can sign in to your account to view more details about this gift registry.","Para ver más detalles sobre este registro de regalo puede firmar su cuenta."
"You can then add the products to your registry from your shopping cart or wish list page.","A continuación, puede añadir los productos a su registro desde su carrito de compras y la página de lista de deseos."
"You can track your order status by creating an account.","Puedes verificar el estado de tu orden creando una cuenta."
"You can use this coupon up to %coupon_limit time(s).","Puede usar este cupón hasta el %coupon_limit (s)."
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","Usted puede ver y comprar artículos de este registro de regalo en <a href=""%account_url"">%store_name</a>."
"You can't add the item to shopping cart.","No puedes añadir el artículo al carrito de la compra."
"You can't add this many to your cart.","No puedes añadir esta cantidad a su carrito de compras."
"You can't add virtual products, digital products or gift cards to gift registries.","Se pueden agregar productos virtuales, productos digitales o tarjetas de regalo a los registros de regalo."
"You can't create an invoice without products.","No se puede crear una factura sin productos."
"You can't delete group ""%1"".","No se puede eliminar el grupo ""%1""."
"You can't delete the default wish list.","No se puede eliminar la lista de deseos predeterminada."
"You can't delete the design change.","No se puede eliminar el cambio de diseño."
"You can't do this without a transaction object.","No se puede hacer esto sin un objeto de transacción."
"You can't redeem a gift card now.","No puede canjear una tarjeta de regalo en este momento."
"You can't remove attributes from this attribute set.","No puedes eliminar atributos en este grupo de atributos."
"You can't remove this gift card.","No se puede remover esta tarjeta de regalo."
"You can't send an invitation with status ""%1"".","No puedes enviar una invitacion con estatus ""%1"""
"You can't send messages more than %1 times an hour.","No puede enviar más de %1 mensajes en una hora."
"You can't unsubscribed right now.","No puede cancelar su suscripción en este momento."
"You can't update this message.","No se puede actualizar este mensaje."
"You can't use more store credit than the order amount.","No se puede usar más crédito de la tienda que el importe del pedido."
"You can't use the payment type you selected to make payments to the billing country.","No se puede utilizar el método de pago seleccionado para hacer pagos en el país de facturación."
"You canceled the billing agreement.","Se ha cancelado el acuerdo de facturación."
"You canceled the coupon code.","Usted canceló el código del cupón."
"You canceled the invoice.","Ha cancelado la factura."
"You canceled the order.","Ha cancelado el pedido."
"You cannot add ""%1"" to the cart.","No puedes añadir ""%1"" al carrito."
"You cannot add a product.","No puede agregar un artículo."
"You cannot cancel the order(s).","No podemos cancelar este/estos pedido(s)."
"You cannot configure a product.","No puede configurar un artículo."
"You cannot delete self-assigned roles.","No se pueden eliminar roles auto asignados."
"You cannot delete this attribute.","No puedes eliminar este atributo."
"You cannot delete this tax class because it is used in existing %1(s).","No se puede eliminar esta clase de impuesto ya que se utiliza en %1(s) existentes."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","No puede eliminar esta clase de impuestos ya que está siendo utilizada en las reglas tributarias (tax rules). Debe eliminar las reglas que está utilizando primero."
"You cannot delete your own account.","No puedes eliminar tu propia cuenta."
"You cannot edit this attribute.","No puedes editar este atributo."
"You cannot remove the hold.","No se puede reactivar."
"You cannot return %1.","No se puede devolver %1."
"You cannot send emails to more than %1 recipients at once","No puede enviar correos electrónicos a más de los receptores de %1 a la vez"
"You cannot send more invitations","Usted no puede enviar más invitaciones"
"You cannot upload this file.","No puede cargar este archivo."
"You cannot void a verification transaction.","No se puede anular una operación de comprobación."
"You cleared the comparison list.","Se a borrado la lista de comparación."
"You created a shipping label.","Ha creado una etiqueta de envío."
"You created the credit memo.","Ha creado la factura rectificada."
"You created the database and media backup.","Se creó la copia de seguridad de la base de datos y multimedia."
"You created the database backup.","Se creó la copia de seguridad de la base de datos."
"You created the invoice and shipment.","Ha creado factura y albarán."
"You created the order.","Creó el pedido."
"You created the shipping label.","Ha creado una etiqueta de envío."
"You created the system backup (excluding media).","Se ha creado una copia de seguridad del sistema (excluyendo los archivos multimedia)."
"You created the system backup.","Se creó la copia de seguridad del sistema."
"You deleted %1 record(s).","Se eliminaron %1 registro(s)."
"You deleted a total of %1 record(s).","Ha eliminado un total de %1 registro(s)."
"You deleted a total of %1 records.","Ha eliminado un total de %1 registro(s)."
"You deleted the address.","Borró la dirección."
"You deleted the alert subscription.","Eliminó la suscripción de alertas."
"You deleted the banner.","Ha eliminado el banner."
"You deleted the billing agreement.","Se ha eliminado el acuerdo de facturación."
"You deleted the block.","Ha eliminado el block."
"You deleted the category.","Ha eliminado la categoría."
"You deleted the condition.","Ha eliminado la condición."
"You deleted the custom variable.","Se ha eliminado la variable personalizada."
"You deleted the customer address attribute.","Se elimina el atributo de dirección de cliente."
"You deleted the customer attribute.","Eliminaste el atributo del cliente."
"You deleted the customer group.","Ha eliminado el grupo de clientes."
"You deleted the customer.","Ha eliminado el cliente."
"You deleted the design change.","Se ha eliminado el cambio de diseño."
"You deleted the email template.","Ha eliminado la plantilla de email."
"You deleted the event.","Se ha eliminado el evento."
"You deleted the gift registry type.","Eliminaste el tipo de registro de regalo."
"You deleted the gift wrapping.","Eliminó la envoltura de regalos."
"You deleted the history files.","Eliminó los archivos de historial."
"You deleted the product attribute.","Se ha eliminado el atributo del producto."
"You deleted the rate.","Ha eliminado la tarifa."
"You deleted the rating.","Borró la calificación."
"You deleted the reminder rule.","Ha eliminado la regla de recordatorio."
"You deleted the RMA attribute.","Ha eliminado el atributo RMA."
"You deleted the role.","Ha eliminado el rol."
"You deleted the rule.","Ha eliminado la regla."
"You deleted the scheduled export.","Eliminó la exportación programada."
"You deleted the scheduled import.","Eliminó la importación programada."
"You deleted the search.","Ha eliminado la búsqueda."
"You deleted the segment.","Eliminaste el segmento."
"You deleted the selected backup(s).","Se ha eliminado las copias de seguridad seleccionadas."
"You deleted the sitemap.","Borró el mapa del sitio."
"You deleted the store view.","Eliminaste la vista de tienda."
"You deleted the store.","Eliminaste la tienda."
"You deleted the tax rate.","Se ha eliminado la tarifa fiscal."
"You deleted the theme.","Ha eliminado el tema."
"You deleted the URL rewrite.","Borró la reescritura de URL."
"You deleted the user.","Ha eliminado el usuario."
"You deleted the website.","Ha eliminado el sitio web."
"You deleted this gift registry entity.","Eliminaste esta entidad de registro de regalo."
"You deleted this gift registry.","Ha eliminado este registro de regalo."
"You did not email your customer. Please check your email settings.","No enviar un mensaje por correo electrónico a su cliente. Por favor, compruebe su configuración de correo electrónico."
"You did not sign in correctly or your account is temporarily disabled.","Usted no se inscribió correctamente o su cuenta se ha desactivado temporalmente."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Se desactiva %1 reglas de precio de catálogo basadas en el atributo ""%2""."
"You do not have access to this.","No tienes acceso a esto."
"You do not have enough store credit to complete this order.","No tienes suficiente crédito de la tienda para completar este pedido."
"You don't have enough reward points to pay for this purchase.","No tienes suficientes puntos de recompensa para pagar por esta compra."
"You don't need to select a shipping address.","No necesita seleccionar una dirección de envío."
"You don't need to select a shipping method.","No es necesario seleccionar un método de envío."
"You don't subscribe to our newsletter.","No está suscribiendose a nuestro boletín de noticias."
"You duplicated the product.","Se duplico el producto."
"You entered an invalid email address: ""%1"".","Escribiste una dirección válida de correo electrónico: ""%1""."
"You entered an invalid hostname: ""%1""","Ha introducido un nombre de host inválido: ""%1"""
"You entered an invalid Secret Key. Please refresh the page.","Has introducido una clave secreta inválida. Por favor actualice la página."
"You entered an invalid type: ""%1"".","Ha introducido un tipo no válido: ""%1""."
"You entered incorrect data. Please try again.","Había ingresado datos incorrectos. Por favor, inténtelo de nuevo."
"You flushed the cache storage.","Se vació la memoria cache."
"You have %1 new system message","Tiene %1 nuevo mensaje del sistema"
"You have %1 new system messages","Tiene %1 nuevos mensajes del sistema"
"You have been successfully subscribed to our newsletter.","Te has suscrito con éxito al nuestro boletín."
"You have been unsubscribed from the newsletter.","Has sido dado de baja de nuestro boletín."
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Optó por cambiar la status(es) de las solicitudes RMA seleccionadas para cerrar. ¿Está seguro que desea proceder?"
"You have item changes","Tiene cambios de artículo"
"You have logged out.","Has cerrado la sesión."
"You have no credit cards.","No tienes tarjetas de crédito."
"You have no default billing address in your address book.","No tiene ninguna dirección de facturación por defecto en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene ninguna dirección de envío por defecto en su libreta de direcciones."
"You have no items in your shopping cart.","No tienes ningún artículo en el carrito."
"You have no items in your wish list.","No tiene ningún elemento en su lista de deseos."
"You have no items to compare.","No tiene ningún artículo para comparar."
"You have no other address entries in your address book.","No tiene otras entradas de direcciones en la libreta de direcciones."
"You have not canceled the item.","No ha cancelado el artículo."
"You have not entered a product SKU.","No introdujo un SKU de artículo."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","No introdujo un SKU de artículo. Por favor <a href=""%1""> haga clic aquí</a> para agregar artículo(s) por SKU."
"You have not purchased any downloadable products yet.","Todavía no ha adquirido ningún artículo descargable."
"You have not put the order on hold.","No ha puesto la orden en espera."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have not uploaded the image.","No ha subido la imagen."
"You have placed no orders.","No ha hecho ningún pedido."
"You have placed no returns.","No ha realizado ninguna devolución."
"You have put %1 order(s) on hold.","Ha puesto %1 pedidos en espera."
"You have revoked the customer's tokens.","Revocaste los tokens del cliente."
"You have revoked the user's tokens.","Revocaste los tokens del cliente."
"You have saved the hierarchy.","Ha guardado la jerarquía."
"You have signed out and will go to our homepage in 5 seconds.","Usted ha cerrado la sesión y irá a su página de inicio en 5 segundos."
"You have submitted no reviews.","No has enviado ninguna reseña."
"You have successfully created the new gift registry ""%registry_name"".","Has creado exitosamente el nuevo registro de regalo ""%registry_name""."
"You have successfully saved your edits.","Ha guardado exitosamente sus cambios."
"You have unassigned the order status.","Ha desasignado el estado del pedido."
"You haven't created a gift registry yet.","No ha creado un registro de regalo todavía."
"You haven't selected any items!","¡No ha seleccionado ningún artículo!"
"You matched the reminder rule.","Ha coincidido la regla de recordatorio."
"You may need more permissions to access this category.","Puede que necesite más permisos para acceder a esta categoría."
"You may need more permissions to access this product.","Puede que necesite más permisos para acceder a este producto."
"You moved the category","Se movió la categoría"
"You must buy at least %1 of these per purchase.","Usted debe comprar por lo menos %1 de éstos por compra."
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Usted debe confirmar su correo electrónico %customer_email antes de firmarlo (el link sólo es válido una vez):"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Debes confirmar tu cuenta. Por favor cheque su correo electrónico para obtener el enlace de confirmación o <a href=""%1""> haga click aquí</a> para un nuevo enlace."
"You must first configure currency options before being able to see currency rates.","Primero debe configurar opciones de monedas disponibles antes de poder ver los tipos de cambio."
"You must select items to add to the cart.","Debe seleccionar artículos para añadir al carrito."
"You must set unique country-state combinations within the same fixed product tax","Debe establecer combinaciones únicas de estado - país en el mismo impuesto fijo producto"
"You need a balance to save your balance history.","Necesitas un balance para poder grabar el tuyo."
"You need an authorization transaction to void.","Necesita una transacción de autorización para anular."
"You need more free space to create a backup.","Necesita más espacio libre para crear una copia de seguridad."
"You need more permissions to access this.","Necesita más permisos para acceder a esto."
"You need more permissions to access website ""%1"".","Se necesitan más permisos para acceder al sitio web ""%1""."
"You need more permissions to activate maintenance mode right now.","Es necesario más permisos para activar el modo de mantenimiento en este momento."
"You need more permissions to apply some of the rule updates.","Necesita más permisos para aplicar algunas de las actualizaciones de las reglas."
"You need more permissions to create a backup.","Necesita más permisos para crear una copia de seguridad."
"You need more permissions to delete this item.","Necesita más permisos para eliminar este artículo."
"You need more permissions to delete this item(s): %1.","Necesita más permisos para eliminar este artículo(s): %1."
"You need more permissions to do this.","Necesitas más permisos para realizar esta acción."
